src_ip,dst_ip,Src Port,Dst Port,Protocol,Timestamp,Flow Duration,Flow Byts/s,Flow Pkts/s,Fwd Pkts/s,Bwd Pkts/s,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Pkt Len Max,Pkt Len Min,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Fwd Header Len,Bwd Header Len,Fwd Seg Size Min,Fwd Act Data Pkts,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Tot,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Tot,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Init Fwd Win Byts,Init Bwd Win Byts,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Fwd Byts/b Avg,Fwd Pkts/b Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Blk Rate Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,CWE Flag Count,Subflow Fwd Pkts,Subflow Bwd Pkts,Subflow Fwd Byts,Subflow Bwd Byts,Label
127.0.0.1,127.0.0.1,2599,20000,6,2026-05-12 07:14:13,1.018952,10817.977686878285,166.8380846202765,84.40044280790458,82.43764181237192,86,84,5643,5380,77,56,65.61627906976744,9.585804189979664,73,44,64.04761904761905,8.679347081413278,77,44,64.84117647058824,9.182692084026046,84.32183391003461,1720,1680,20,42,0.0060293017751479,0.031486,0.0,0.0107033319458592,1.0188260000000005,0.031486,0.0,0.0119861882352941,0.0125061401507599,1.018902,0.031562,7.1e-05,0.0122759277108433,0.0126120474951084,42,40,0,0,1,3,1,82,167,0,0,0.9767441860465116,64.84117647058824,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.61627906976744,64.04761904761905,0,86,84,5643,5380,NORMAL
127.0.0.1,127.0.0.1,37258,20000,6,2026-05-12 07:26:21,0.000423,1423167.8486997637,23640.66193853428,14184.397163120568,9456.264775413712,6,4,370,232,74,56,61.66666666666666,6.574360974438674,64,56,58.0,3.4641016151377544,74,56,60.2,5.8275209137333865,33.96,120,80,20,1,4.7e-05,0.00022,0.0,6.330350174621727e-05,0.000383,0.000245,0.0,7.659999999999999e-05,8.708294896246912e-05,0.000383,0.00022,4.9e-05,0.0001276666666666,7.047615830115096e-05,1,0,0,0,2,3,0,1,8,0,0,0.6666666666666666,60.2,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.66666666666666,58.0,0,6,4,370,232,DNP3_INFO
127.0.0.1,127.0.0.1,50013,20000,6,2026-05-12 07:28:31,0.000429,1668997.668997669,27972.02797202797,16317.016317016316,11655.011655011656,7,5,418,298,66,56,59.71428571428572,4.333071682315172,66,56,59.6,4.454211490264017,66,56,59.66666666666666,4.384315479321969,19.222222222222225,140,100,20,1,3.899999999999999e-05,0.000139,0.0,3.902679732044264e-05,0.0004289999999999,0.000214,0.0,7.149999999999999e-05,7.297431054830186e-05,0.0003099999999999,0.000139,1.7e-05,7.749999999999999e-05,4.6100433837438016e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,59.66666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.71428571428572,59.6,0,7,5,418,298,DNP3_ENUMERATE
127.0.0.1,127.0.0.1,34907,20000,6,2026-05-12 07:15:44,1.009916,11942.577402477038,184.17373326098408,93.07704799211024,91.09668526887384,94,92,6165,5896,77,56,65.58510638297872,9.55878739579683,73,44,64.08695652173913,8.664836702735151,77,44,64.84408602150538,9.158249848834414,83.87354029367557,1880,1840,20,46,0.0054590054054054,0.028503,0.0,0.0096529391790565,1.0098669999999998,0.028503,0.0,0.0108587849462365,0.0112582442163719,1.0098309999999997,0.028724,6.8e-05,0.0110970439560439,0.0113914050025505,46,44,0,0,1,3,1,90,183,0,0,0.9787234042553192,64.84408602150538,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.58510638297872,64.08695652173913,0,94,92,6165,5896,NORMAL
127.0.0.1,127.0.0.1,58083,20000,6,2026-05-12 07:26:22,0.00067,1091044.7761194028,17910.44776119403,10447.76119402985,7462.686567164179,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,6.090909090909091e-05,0.000255,0.0,6.642077241544594e-05,0.00067,0.000353,0.0,0.0001116666666666,0.0001177379387547,0.000562,0.000255,5.5e-05,0.0001405,8.634089413481888e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
127.0.0.1,127.0.0.1,30467,20000,6,2026-05-12 07:27:11,0.0006,1218333.3333333335,20000.0,11666.666666666668,8333.333333333334,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,5.454545454545454e-05,0.000206,0.0,5.421063907047907e-05,0.0006,0.000268,0.0,0.0001,8.774014664526915e-05,0.0004669999999999,0.000206,1.7e-05,0.0001167499999999,6.716165200469684e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
127.0.0.1,127.0.0.1,51012,20000,6,2026-05-12 07:16:58,0.568576,16606.399144529492,256.7818550202612,130.14970733903647,126.63214768122468,74,72,4836,4606,77,56,65.35135135135135,9.346819711238153,73,44,63.97222222222222,8.70659427966052,77,44,64.67123287671232,9.063028606437856,82.1384875211109,1480,1440,20,36,0.0039212137931034,0.021122,0.0,0.0069039055235736,0.56853,0.021122,0.0,0.0077880821917808,0.0080368112240352,0.5685069999999999,0.021216,7.4e-05,0.0080071408450704,0.0081631103887917,36,34,0,0,1,3,1,70,143,0,0,0.972972972972973,64.67123287671232,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.35135135135135,63.97222222222222,0,74,72,4836,4606,DNP3_COMMAND_INJECTION
127.0.0.1,127.0.0.1,65167,20000,6,2026-05-12 07:27:52,0.000734,998637.6021798366,16348.773841961854,9536.784741144416,6811.989100817439,7,5,428,305,76,56,61.142857142857146,6.998542122237651,73,56,61.0,6.752777206453653,76,56,61.083333333333336,6.897563982225094,47.57638888888889,140,100,20,1,6.672727272727273e-05,0.000334,0.0,8.905472363470055e-05,0.000734,0.000387,0.0,0.0001223333333333,0.0001257440080304,0.000604,0.000334,5.1e-05,0.000151,0.0001083674305315,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,61.083333333333336,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.142857142857146,61.0,0,7,5,428,305,DNP3_INFO
127.0.0.1,127.0.0.1,25539,20000,6,2026-05-12 07:20:07,0.393797,21353.641597066508,330.1193254392492,167.59904214608034,162.5202832931688,66,64,4319,4090,77,56,65.43939393939394,9.406845972367258,73,44,63.90625,8.729831667191528,77,44,64.68461538461538,9.11215132529898,83.03130177514795,1320,1280,20,32,0.0030526899224806,0.016344,0.0,0.0053088735440724,0.393654,0.016344,0.0,0.0060562153846153,0.0061470621563157,0.3937380000000001,0.016569,9.2e-05,0.0062498095238095,0.00628929383034,32,30,0,0,1,3,1,62,127,0,0,0.9696969696969696,64.68461538461538,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.43939393939394,63.90625,0,66,64,4319,4090,DNP3_COMMAND_INJECTION
127.0.0.1,127.0.0.1,29909,20000,6,2026-05-12 07:22:03,0.260557,31252.27877201534,483.57940872822456,245.62763617941565,237.9517725488089,64,62,4182,3961,77,56,65.34375,9.31768940980005,73,44,63.88709677419355,8.736473117856075,77,44,64.62698412698413,9.065663571072722,82.18625598387503,1280,1240,20,31,0.0020844559999999,0.010823,0.0,0.0035982535619469,0.260485,0.010823,0.0,0.0041346825396825,0.0041515257161957,0.2604890000000001,0.010915,9e-05,0.0042703114754098,0.0042619497790772,31,29,0,0,1,3,1,60,123,0,0,0.96875,64.62698412698413,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.34375,63.88709677419355,0,64,62,4182,3961,DNP3_COMMAND_INJECTION
127.0.0.1,127.0.0.1,53863,20000,6,2026-05-12 07:27:37,0.000475,1538947.3684210526,25263.157894736843,14736.842105263158,10526.315789473683,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,4.318181818181818e-05,0.000167,0.0,4.420986763941071e-05,0.000475,0.000214,0.0,7.916666666666666e-05,7.293928220711311e-05,0.000357,0.000167,5.4e-05,8.925e-05,4.591500299466396e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
